,Unnamed: 0,scenario,run,acc,f1_score,auroc
24,24,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.3476),tensor(0.3438),tensor(0.7347)
25,25,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.1660),tensor(0.0475),tensor(0.4986)
26,26,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.1660),tensor(0.0475),tensor(0.4986)
27,27,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5736),tensor(0.5135),tensor(0.8884)
28,28,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.2792),tensor(0.2652),tensor(0.6084)
29,29,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.6028),tensor(0.5130),tensor(0.8722)
30,30,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.4957),tensor(0.4680),tensor(0.8182)
31,31,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.5216),tensor(0.4933),tensor(0.7408)
32,32,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.5894),tensor(0.5664),tensor(0.8969)
33,33,"[12]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.7993),tensor(0.8010),tensor(0.9644)
34,34,"[12]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.6009),tensor(0.5585),tensor(0.8382)
35,35,"[12]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.7115),tensor(0.6972),tensor(0.9144)
36,36,"[13]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5203),tensor(0.4993),tensor(0.7956)
37,37,"[13]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.3476),tensor(0.3374),tensor(0.8128)
38,38,"[13]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.6474),tensor(0.5696),tensor(0.8843)
39,39,"[14]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.2314),tensor(0.2169),tensor(0.4672)
40,40,"[14]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.4285),tensor(0.3423),tensor(0.6477)
41,41,"[14]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.2779),tensor(0.2600),tensor(0.6356)
42,42,"[15]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.3360),tensor(0.3247),tensor(0.6632)
43,43,"[15]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.5130),tensor(0.4806),tensor(0.8405)
44,44,"[15]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.6201),tensor(0.5542),tensor(0.8464)
45,45,"[16]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.1442),tensor(0.1453),tensor(0.5125)
46,46,"[16]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.1199),tensor(0.0880),tensor(0.3869)
