,Unnamed: 0,scenario,run,acc,f1_score,auroc
46,46,"[15]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",1,tensor(0.6475),tensor(0.5644),tensor(0.8681)
47,47,"[15]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",2,tensor(0.6677),tensor(0.5759),tensor(0.8827)
48,48,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",0,tensor(0.6047),tensor(0.5084),tensor(0.8281)
49,49,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",1,tensor(0.6526),tensor(0.5547),tensor(0.8563)
50,50,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",2,tensor(0.6451),tensor(0.5441),tensor(0.8644)
51,51,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",0,tensor(0.6031),tensor(0.5042),tensor(0.8454)
52,52,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",1,tensor(0.6380),tensor(0.5274),tensor(0.8590)
53,53,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",2,tensor(0.6425),tensor(0.5233),tensor(0.8408)
54,54,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",0,tensor(0.6680),tensor(0.5904),tensor(0.8943)
55,55,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",1,tensor(0.6392),tensor(0.5620),tensor(0.8780)
56,56,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",2,tensor(0.6378),tensor(0.5617),tensor(0.8854)
57,57,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0,tensor(0.6649),tensor(0.5725),tensor(0.8802)
58,58,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1,tensor(0.6546),tensor(0.5792),tensor(0.8779)
59,59,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2,tensor(0.6602),tensor(0.5756),tensor(0.8755)
60,60,mean,-,0.6624,0.5702,0.8768
61,61,std,-,0.0278,0.0354,0.0159
