fed_type,acc,f1_score,auroc
FedAvg,0.6865 +- 0.0275,0.5981 +- 0.0339,0.8845 +- 0.0170
FedProx,0.6866 +- 0.0275,0.5982 +- 0.0339,0.8846 +- 0.0169
SCAFFOLD,0.6763 +- 0.0407,0.5846 +- 0.0450,0.8749 +- 0.0181
MOON,0.6624 +- 0.0278,0.5702 +- 0.0354,0.8768 +- 0.0159
noFL_multitargets,0.6559 +- 0.0234,0.5691 +- 0.0304,0.8739 +- 0.0168
