fed_type,acc,f1_score,auroc
FedAvg,0.7279 +- 0.0835,0.7693 +- 0.0766,0.8957 +- 0.0471
FedProx,0.7305 +- 0.0842,0.7712 +- 0.0769,0.8964 +- 0.0464
SCAFFOLD,0.6567 +- 0.0908,0.6409 +- 0.1443,0.8273 +- 0.0668
MOON,0.7345 +- 0.0707,0.7748 +- 0.0661,0.8909 +- 0.0444
noFL_multitargets,0.7040 +- 0.0655,0.7529 +- 0.0617,0.8744 +- 0.0293
